index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
122	 |	 -0.0440033	 0	 -0.00814786	 0	 -0.00792229	 
123	 |	 -0.0468042	 0	 -0.0165588	 0	 0	 
124	 |	 -0.0301606	 0	 -0.00715197	 0	 -0.00949509	 
125	 |	 -0.0356927	 0	 -0.00865107	 0	 -0.00752216	 
126	 |	 -0.03851	 0	 -0.0169594	 0	 0	 
127	 |	 -0.024782	 0	 -0.00768315	 0	 -0.00870938	 
128	 |	 -0.0301254	 0	 -0.00915685	 0	 -0.00713273	 
129	 |	 -0.0320496	 0	 -0.017283	 0	 0	 
130	 |	 -0.0184752	 0	 -0.00864544	 0	 -0.00768487	 
131	 |	 -0.0229623	 0	 -0.0101741	 0	 -0.00649789	 
132	 |	 -0.0247655	 0	 -0.0182372	 0	 0	 
133	 |	 -0.0133445	 0	 -0.0100292	 0	 -0.00639413	 
134	 |	 -0.0168978	 0	 -0.0115811	 0	 -0.00590108	 
135	 |	 -0.0185977	 0	 -0.0193843	 0	 0	 
136	 |	 -0.00958063	 0	 -0.0116448	 0	 -0.00535305	 
137	 |	 -0.0124222	 0	 -0.0133435	 0	 -0.00513837	 
138	 |	 -0.013857	 0	 -0.0207888	 0	 0	 
139	 |	 -0.00736202	 0	 -0.0131212	 0	 -0.00448963	 
140	 |	 -0.00965128	 0	 -0.0148893	 0	 -0.00448052	 
141	 |	 -0.0107363	 0	 -0.0219357	 0	 0	 
142	 |	 0	 0	 -0.0238949	 0	 0	 
143	 |	 0	 0	 -0.0273111	 0	 0	 
144	 |	 0	 0	 -0.0298142	 0	 0	 
145	 |	 -0.172272	 0	 -0.00455395	 0	 -0.00794268	 
146	 |	 -0.177328	 0	 -0.00607564	 0	 -0.00666191	 
147	 |	 -0.179839	 0	 -0.013332	 0	 0	 
148	 |	 -0.107608	 0	 -0.0047914	 0	 -0.00779933	 
149	 |	 -0.113084	 0	 -0.00629482	 0	 -0.00657377	 
150	 |	 -0.116317	 0	 -0.0135234	 0	 0	 
151	 |	 -0.0993474	 0	 -0.0048485	 0	 -0.00776503	 
152	 |	 -0.105159	 0	 -0.00634875	 0	 -0.00659373	 
153	 |	 -0.108051	 0	 -0.0135803	 0	 0	 
154	 |	 -0.0588566	 0	 -0.00541668	 0	 -0.00744747	 
155	 |	 -0.0640754	 0	 -0.00689697	 0	 -0.00639758	 
156	 |	 -0.0652661	 0	 -0.0141787	 0	 0	 
157	 |	 -0.0431964	 0	 -0.00597227	 0	 -0.00717678	 
158	 |	 -0.0483682	 0	 -0.00743812	 0	 -0.00625501	 
159	 |	 -0.050617	 0	 -0.0146655	 0	 0	 
160	 |	 -0.0344666	 0	 -0.00652629	 0	 -0.00691225	 
161	 |	 -0.0391271	 0	 -0.0080004	 0	 -0.00611062	 
162	 |	 -0.0407355	 0	 -0.0152242	 0	 0	 
163	 |	 -0.0287633	 0	 -0.00706428	 0	 -0.00660299	 
164	 |	 -0.0329346	 0	 -0.00851384	 0	 -0.00601256	 
165	 |	 -0.0355567	 0	 -0.0157543	 0	 0	 
166	 |	 -0.0215787	 0	 -0.00808058	 0	 -0.00617675	 
167	 |	 -0.0252417	 0	 -0.00954817	 0	 -0.00567579	 
168	 |	 -0.0270648	 0	 -0.0167917	 0	 0	 
169	 |	 -0.0157297	 0	 -0.00948008	 0	 -0.00545645	 
170	 |	 -0.0188301	 0	 -0.0110932	 0	 -0.00517183	 
171	 |	 -0.020552	 0	 -0.0180415	 0	 0	 
172	 |	 -0.0113666	 0	 -0.0112092	 0	 -0.0047901	 
173	 |	 -0.0138089	 0	 -0.0129315	 0	 -0.00469864	 
174	 |	 -0.0148074	 0	 -0.0200368	 0	 0	 
175	 |	 -0.00867175	 0	 -0.0127235	 0	 -0.00428465	 
176	 |	 -0.0106284	 0	 -0.0144572	 0	 -0.00427562	 
177	 |	 -0.0119062	 0	 -0.0212539	 0	 0	 
178	 |	 0	 0	 -0.0239634	 0	 0	 
179	 |	 0	 0	 -0.0273561	 0	 0	 
180	 |	 0	 0	 -0.0297964	 0	 0	 
181	 |	 -0.179951	 0	 -0.00379902	 0	 -0.00210694	 
182	 |	 -0.185703	 0	 -0.00515634	 0	 -0.0025389	 
183	 |	 -0.185292	 0	 -0.00901728	 0	 0	 
184	 |	 -0.115233	 0	 -0.00403306	 0	 -0.00217893	 
185	 |	 -0.120091	 0	 -0.00538143	 0	 -0.00259546	 
186	 |	 -0.120714	 0	 -0.00930213	 0	 0	 
187	 |	 -0.10703	 0	 -0.00407962	 0	 -0.00219785	 
188	 |	 -0.111752	 0	 -0.00545708	 0	 -0.00261548	 
189	 |	 -0.110648	 0	 -0.00940406	 0	 0	 
190	 |	 -0.0662737	 0	 -0.0046412	 0	 -0.00237608	 
191	 |	 -0.0703343	 0	 -0.00603011	 0	 -0.00276171	 
192	 |	 -0.0725045	 0	 -0.0101052	 0	 0	 
193	 |	 -0.0501784	 0	 -0.00519895	 0	 -0.00253259	 
194	 |	 -0.0538051	 0	 -0.00660069	 0	 -0.00289448	 
195	 |	 -0.0554496	 0	 -0.0107168	 0	 0	 
196	 |	 -0.0411694	 0	 -0.00574099	 0	 -0.00266633	 
197	 |	 -0.0448571	 0	 -0.00716935	 0	 -0.00291244	 
198	 |	 -0.0461627	 0	 -0.011409	 0	 0	 
199	 |	 -0.034937	 0	 -0.00628589	 0	 -0.00278839	 
200	 |	 -0.0387462	 0	 -0.00774876	 0	 -0.00298182	 
201	 |	 -0.0401929	 0	 -0.0122283	 0	 0	 
202	 |	 -0.0277063	 0	 -0.00733645	 0	 -0.00270832	 
203	 |	 -0.0305234	 0	 -0.00883252	 0	 -0.00311329	 
204	 |	 -0.0319925	 0	 -0.0133755	 0	 0	 
205	 |	 -0.0207479	 0	 -0.00879853	 0	 -0.00290501	 
206	 |	 -0.0230143	 0	 -0.0102928	 0	 -0.00329859	 
207	 |	 -0.0243872	 0	 -0.0151402	 0	 0	 
208	 |	 -0.0155865	 0	 -0.0105104	 0	 -0.00288582	 
209	 |	 -0.0173113	 0	 -0.0121917	 0	 -0.00332157	 
210	 |	 -0.0183377	 0	 -0.017518	 0	 0	 
211	 |	 -0.0124171	 0	 -0.0120064	 0	 -0.00282855	 
212	 |	 -0.0137398	 0	 -0.0138169	 0	 -0.00325413	 
213	 |	 -0.014576	 0	 -0.0190763	 0	 0	 
214	 |	 0	 0	 -0.024254	 0	 0	 
215	 |	 0	 0	 -0.0276178	 0	 0	 
216	 |	 0	 0	 -0.0297465	 0	 0	 
217	 |	 -0.168136	 0	 -0.0228726	 0	 -0.0209628	 
218	 |	 -0.175194	 0	 -0.0232037	 0	 -0.0140236	 
219	 |	 -0.174247	 0	 -0.0369784	 0	 0	 
220	 |	 -0.10323	 0	 -0.0230364	 0	 -0.0196499	 
221	 |	 -0.110516	 0	 -0.0235001	 0	 -0.0134553	 
222	 |	 -0.110745	 0	 -0.0367327	 0	 0	 
223	 |	 -0.0953409	 0	 -0.0230991	 0	 -0.0192474	 
224	 |	 -0.102872	 0	 -0.0235053	 0	 -0.0133499	 
225	 |	 -0.102413	 0	 -0.0367448	 0	 0	 
226	 |	 -0.0575086	 0	 -0.0237683	 0	 -0.0168391	 
227	 |	 -0.0641995	 0	 -0.0240827	 0	 -0.0123519	 
228	 |	 -0.0656835	 0	 -0.0367425	 0	 0	 
