index	 |	 c12	 c13	 c14	 c1t	 c1b	 c23	 c24	 c2t	 c2b	 
20	 |	 -0.00270046	 -0.121821	 -0.00485819	 0	 -0.00894952	 -0.00685816	 -0.104012	 0	 -0.00594313	 
21	 |	 -0.00216411	 -0.111341	 -0.0038639	 0	 -0.00686797	 -0.00504051	 -0.0934144	 0	 -0.0005693	 
22	 |	 -0.00280818	 -0.11179	 -0.00488714	 0	 -0.00903401	 -0.00686475	 -0.0958117	 0	 -0.00594623	 
23	 |	 -0.00316019	 -0.0634653	 -0.00425747	 0	 -0.00811389	 -0.00535536	 -0.0539909	 0	 -0.00060734	 
24	 |	 -0.00389878	 -0.0644867	 -0.00534168	 0	 -0.0101948	 -0.00702266	 -0.0561533	 0	 -0.00596682	 
25	 |	 -0.00492605	 -0.0338773	 -0.00464703	 0	 -0.0106163	 -0.00552527	 -0.0303326	 0	 -0.00066411	 
26	 |	 -0.00584924	 -0.0346414	 -0.00559744	 0	 -0.0124999	 -0.00702456	 -0.0319842	 0	 -0.00594829	 
27	 |	 -0.00625517	 -0.0218015	 -0.00467664	 0	 -0.0128849	 -0.00537769	 -0.0210703	 0	 -0.00096458	 
28	 |	 -0.00730154	 -0.0226495	 -0.00551774	 0	 -0.0146184	 -0.00671955	 -0.0225496	 0	 -0.0062091	 
29	 |	 -0.00788887	 -0.0107368	 -0.00415502	 0	 -0.0165423	 -0.00473871	 -0.0126951	 0	 -0.0019961	 
30	 |	 -0.00903986	 -0.0113803	 -0.00490195	 0	 -0.0183348	 -0.0056921	 -0.013821	 0	 -0.00714536	 
31	 |	 -0.00955779	 0	 0	 0	 -0.0265135	 0	 0	 0	 -0.0165242	 
32	 |	 -0.0108534	 0	 0	 0	 -0.0279872	 0	 0	 0	 -0.0176213	 
33	 |	 -0.00161915	 -0.199122	 -0.00350141	 0	 -0.00577671	 -0.00678671	 -0.165529	 0	 -0.00029499	 
34	 |	 -0.00213991	 -0.198868	 -0.00453691	 0	 -0.00690226	 -0.0103752	 -0.167408	 0	 -0.00354644	 
35	 |	 -0.00203841	 -0.122914	 -0.00371253	 0	 -0.00630321	 -0.00681542	 -0.101377	 0	 -0.00030687	 
36	 |	 -0.00265865	 -0.123751	 -0.00461893	 0	 -0.00743405	 -0.0101875	 -0.102448	 0	 -0.00357381	 
37	 |	 -0.00214318	 -0.113239	 -0.00376148	 0	 -0.00643438	 -0.00686739	 -0.0930806	 0	 -0.00030924	 
38	 |	 -0.00277325	 -0.113782	 -0.00465412	 0	 -0.0075738	 -0.0102979	 -0.0951249	 0	 -0.00360471	 
39	 |	 -0.00314411	 -0.0650488	 -0.00417786	 0	 -0.00774202	 -0.00700685	 -0.0536644	 0	 -0.00034082	 
40	 |	 -0.00387214	 -0.0661359	 -0.00509046	 0	 -0.0089458	 -0.0101552	 -0.0555859	 0	 -0.00379945	 
41	 |	 -0.00491244	 -0.0350748	 -0.00457713	 0	 -0.0103336	 -0.00702314	 -0.0298942	 0	 -0.00046973	 
42	 |	 -0.0058135	 -0.0359556	 -0.00539116	 0	 -0.0115493	 -0.00978187	 -0.0315313	 0	 -0.0040383	 
43	 |	 -0.00626615	 -0.0226537	 -0.00459948	 0	 -0.0126899	 -0.00677251	 -0.0206097	 0	 -0.00074596	 
44	 |	 -0.00740024	 -0.0234453	 -0.00528245	 0	 -0.0139737	 -0.00918531	 -0.0220479	 0	 -0.00440845	 
45	 |	 -0.00788007	 -0.0112677	 -0.00405401	 0	 -0.0164357	 -0.0059937	 -0.0122147	 0	 -0.00178965	 
46	 |	 -0.00902063	 -0.0120093	 -0.00471675	 0	 -0.0178748	 -0.00793902	 -0.0134433	 0	 -0.00565006	 
47	 |	 -0.00947363	 0	 0	 0	 -0.026587	 0	 0	 0	 -0.0168396	 
48	 |	 -0.0109126	 0	 0	 0	 -0.0280519	 0	 0	 0	 -0.0178573	 
49	 |	 -0.00259944	 -0.196674	 -0.00625753	 0	 -0.0113721	 -0.00290649	 -0.165333	 0	 -0.00055192	 
50	 |	 -0.00327091	 -0.196936	 -0.00821636	 0	 -0.0156366	 -0.00415378	 -0.167327	 0	 -0.00601042	 
51	 |	 -0.00314038	 -0.120888	 -0.0064461	 0	 -0.0118132	 -0.00294833	 -0.101594	 0	 -0.00053784	 
52	 |	 -0.0037617	 -0.121718	 -0.00829304	 0	 -0.0156862	 -0.00416799	 -0.103929	 0	 -0.00597974	 
53	 |	 -0.00321674	 -0.111249	 -0.00647888	 0	 -0.0119345	 -0.00299626	 -0.0937216	 0	 -0.00054793	 
54	 |	 -0.00387285	 -0.11192	 -0.00830265	 0	 -0.0157413	 -0.00418756	 -0.0955701	 0	 -0.00599812	 
55	 |	 -0.0045142	 -0.0635607	 -0.00678443	 0	 -0.0131469	 -0.00324529	 -0.0538928	 0	 -0.00055648	 
56	 |	 -0.0054718	 -0.0646485	 -0.00832919	 0	 -0.016556	 -0.00449045	 -0.0560668	 0	 -0.00593978	 
57	 |	 -0.00656753	 -0.033734	 -0.00701381	 0	 -0.0156891	 -0.00357312	 -0.0303264	 0	 -0.00060671	 
58	 |	 -0.00757071	 -0.0348624	 -0.00832618	 0	 -0.0183449	 -0.00465347	 -0.0318133	 0	 -0.00588816	 
59	 |	 -0.00806177	 -0.0217482	 -0.00678985	 0	 -0.0180587	 -0.00365343	 -0.021025	 0	 -0.00082886	 
60	 |	 -0.00924739	 -0.0227432	 -0.00789384	 0	 -0.0204258	 -0.00480579	 -0.0224032	 0	 -0.00600434	 
61	 |	 -0.00987439	 -0.0107578	 -0.00578508	 0	 -0.021926	 -0.00338961	 -0.0126662	 0	 -0.00167328	 
62	 |	 -0.011099	 -0.0115897	 -0.00658499	 0	 -0.0239609	 -0.00416029	 -0.0138092	 0	 -0.00679639	 
63	 |	 -0.0117162	 0	 0	 0	 -0.0330248	 0	 0	 0	 -0.0150869	 
64	 |	 -0.0131412	 0	 0	 0	 -0.0345037	 0	 0	 0	 -0.0162309	 
65	 |	 -0.00250789	 -0.202115	 -0.00593243	 0	 -0.0103198	 -0.00349088	 -0.165148	 0	 -0.00048715	 
66	 |	 -0.00309062	 -0.201042	 -0.00754944	 0	 -0.0131476	 -0.00520012	 -0.16595	 0	 -0.005464	 
67	 |	 -0.00303963	 -0.125374	 -0.00617163	 0	 -0.0108575	 -0.00370649	 -0.101895	 0	 -0.00050535	 
68	 |	 -0.00364337	 -0.12602	 -0.00776842	 0	 -0.0134061	 -0.00528303	 -0.102809	 0	 -0.0054839	 
69	 |	 -0.00317059	 -0.115433	 -0.00621894	 0	 -0.0109943	 -0.00372706	 -0.0935967	 0	 -0.00050689	 
70	 |	 -0.00384512	 -0.116188	 -0.00775214	 0	 -0.0136935	 -0.00527445	 -0.0955837	 0	 -0.00546929	 
71	 |	 -0.00445957	 -0.0667823	 -0.00657287	 0	 -0.0123736	 -0.0038883	 -0.0538204	 0	 -0.00052431	 
72	 |	 -0.00528993	 -0.0673521	 -0.00784241	 0	 -0.0147664	 -0.00536618	 -0.0554881	 0	 -0.00551524	 
73	 |	 -0.00652953	 -0.0359604	 -0.00683754	 0	 -0.015135	 -0.00405033	 -0.0302194	 0	 -0.00059399	 
74	 |	 -0.00749746	 -0.0368515	 -0.00774439	 0	 -0.0172007	 -0.00541344	 -0.0313807	 0	 -0.00549057	 
75	 |	 -0.00805655	 -0.0232096	 -0.00665707	 0	 -0.0176601	 -0.00403199	 -0.020862	 0	 -0.0008179	 
76	 |	 -0.00919903	 -0.0238252	 -0.00761476	 0	 -0.0196135	 -0.00534054	 -0.0221828	 0	 -0.00565381	 
77	 |	 -0.00986927	 -0.0114959	 -0.0056586	 0	 -0.0217321	 -0.0036926	 -0.012583	 0	 -0.00170284	 
78	 |	 -0.0110957	 -0.0119685	 -0.00644595	 0	 -0.0236213	 -0.00476093	 -0.013665	 0	 -0.00647199	 
79	 |	 -0.011717	 0	 0	 0	 -0.0330637	 0	 0	 0	 -0.0151754	 
80	 |	 -0.0131722	 0	 0	 0	 -0.0345457	 0	 0	 0	 -0.0162495	 
81	 |	 -0.00248475	 -0.204231	 -0.00581954	 0	 -0.00973664	 -0.00511795	 -0.165422	 0	 -0.00024466	 
82	 |	 -0.0030411	 -0.204236	 -0.00715655	 0	 -0.0110826	 -0.00821111	 -0.167188	 0	 -0.00331968	 
83	 |	 -0.00302646	 -0.127764	 -0.00604039	 0	 -0.0103094	 -0.00522966	 -0.101416	 0	 -0.00025717	 
84	 |	 -0.00368408	 -0.12764	 -0.00712662	 0	 -0.0116036	 -0.00824926	 -0.102311	 0	 -0.00336776	 
85	 |	 -0.00315181	 -0.117807	 -0.0060871	 0	 -0.0104557	 -0.00525018	 -0.0931127	 0	 -0.00025913	 
86	 |	 -0.00384284	 -0.117595	 -0.00715597	 0	 -0.0117481	 -0.00815815	 -0.0949708	 0	 -0.00338816	 
87	 |	 -0.00445302	 -0.0686882	 -0.00647331	 0	 -0.0119355	 -0.00536622	 -0.0535378	 0	 -0.0002761	 
88	 |	 -0.00517735	 -0.069169	 -0.00750826	 0	 -0.0131906	 -0.00814481	 -0.0554391	 0	 -0.00352494	 
