index	 |	 c12	 c13	 c14	 c1t	 c1b	 c23	 c24	 c2t	 c2b	 
39	 |	 -0.0134338	 -0.0485439	 -0.00645554	 0	 -0.00508584	 -0.00922454	 -0.0459585	 0	 -0.00045036	 
40	 |	 -0.013851	 -0.0496107	 -0.0070464	 0	 -0.00645764	 -0.012206	 -0.0463891	 0	 -0.0035023	 
41	 |	 -0.017833	 -0.0248712	 -0.00598088	 0	 -0.00649364	 -0.00845087	 -0.023443	 0	 -0.0006238	 
42	 |	 -0.0184664	 -0.0258573	 -0.00653947	 0	 -0.00789117	 -0.0109434	 -0.0243552	 0	 -0.00391572	 
43	 |	 -0.0199643	 -0.0158717	 -0.00529623	 0	 -0.00770897	 -0.00763351	 -0.0154814	 0	 -0.00099102	 
44	 |	 -0.0205363	 -0.0168837	 -0.00581572	 0	 -0.0091771	 -0.0101009	 -0.0162764	 0	 -0.00437419	 
45	 |	 -0.0218341	 -0.00834993	 -0.00403738	 0	 -0.00962497	 -0.00624271	 -0.00893351	 0	 -0.00203244	 
46	 |	 -0.0226912	 -0.00916747	 -0.00462726	 0	 -0.0113753	 -0.00815571	 -0.00952943	 0	 -0.00563758	 
47	 |	 -0.023256	 0	 0	 0	 -0.0174912	 0	 0	 0	 -0.0146794	 
48	 |	 -0.0242328	 0	 0	 0	 -0.0191264	 0	 0	 0	 -0.015615	 
49	 |	 -0.0113195	 -0.16032	 -0.0167127	 0	 -0.00775526	 -0.00231026	 -0.158453	 0	 -0.00056289	 
50	 |	 -0.0117822	 -0.160117	 -0.01829	 0	 -0.0117958	 -0.0033423	 -0.159097	 0	 -0.00499003	 
51	 |	 -0.0135274	 -0.095503	 -0.0166355	 0	 -0.0080144	 -0.00243963	 -0.0940959	 0	 -0.00056938	 
52	 |	 -0.0140164	 -0.0959381	 -0.0179446	 0	 -0.0118603	 -0.00339007	 -0.0941178	 0	 -0.00498641	 
53	 |	 -0.01408	 -0.0871583	 -0.016426	 0	 -0.00807723	 -0.00240697	 -0.0855933	 0	 -0.00057495	 
54	 |	 -0.0144644	 -0.0877718	 -0.0177111	 0	 -0.0118821	 -0.00344248	 -0.0864899	 0	 -0.00502647	 
55	 |	 -0.01853	 -0.0465621	 -0.0150439	 0	 -0.00877385	 -0.00265588	 -0.0461189	 0	 -0.00059417	 
56	 |	 -0.0190569	 -0.0472069	 -0.0161313	 0	 -0.012205	 -0.00374177	 -0.0472411	 0	 -0.00515414	 
57	 |	 -0.0233975	 -0.0229971	 -0.0120004	 0	 -0.010144	 -0.00301645	 -0.0235731	 0	 -0.00068394	 
58	 |	 -0.0239015	 -0.0237157	 -0.0132258	 0	 -0.01328	 -0.00388172	 -0.0244321	 0	 -0.00528345	 
59	 |	 -0.025821	 -0.0144306	 -0.00972568	 0	 -0.0113755	 -0.00301762	 -0.0156614	 0	 -0.00090928	 
60	 |	 -0.0264079	 -0.0149378	 -0.0108508	 0	 -0.0144545	 -0.00395425	 -0.0164109	 0	 -0.0055401	 
61	 |	 -0.0278961	 -0.00722426	 -0.00689729	 0	 -0.013473	 -0.00257517	 -0.00920663	 0	 -0.00167603	 
62	 |	 -0.0287162	 -0.00794401	 -0.00775433	 0	 -0.0165081	 -0.00345308	 -0.00981797	 0	 -0.00619121	 
63	 |	 -0.0294035	 0	 0	 0	 -0.0228629	 0	 0	 0	 -0.0122987	 
64	 |	 -0.0305583	 0	 0	 0	 -0.0246909	 0	 0	 0	 -0.0131071	 
65	 |	 -0.0111499	 -0.164187	 -0.0162982	 0	 -0.00708432	 -0.0028393	 -0.15824	 0	 -0.00051429	 
66	 |	 -0.0115489	 -0.164259	 -0.0172147	 0	 -0.0101911	 -0.00421724	 -0.158138	 0	 -0.00458634	 
67	 |	 -0.0134532	 -0.0987462	 -0.0162564	 0	 -0.00739152	 -0.00284017	 -0.0940632	 0	 -0.00052661	 
68	 |	 -0.0137669	 -0.0991723	 -0.0172535	 0	 -0.0104258	 -0.00436517	 -0.0948017	 0	 -0.0047	 
69	 |	 -0.0140758	 -0.0903513	 -0.0160118	 0	 -0.00747056	 -0.00285716	 -0.0854149	 0	 -0.00052793	 
70	 |	 -0.014357	 -0.0908838	 -0.0170485	 0	 -0.0104972	 -0.00428272	 -0.0861014	 0	 -0.0047045	 
71	 |	 -0.0185092	 -0.0490789	 -0.0147604	 0	 -0.00826382	 -0.00305445	 -0.0459594	 0	 -0.00055351	 
72	 |	 -0.0188938	 -0.0499407	 -0.015628	 0	 -0.0111251	 -0.00443314	 -0.0466723	 0	 -0.00485958	 
73	 |	 -0.0234024	 -0.0247468	 -0.0117787	 0	 -0.00973747	 -0.00329406	 -0.0234361	 0	 -0.0006514	 
74	 |	 -0.0239532	 -0.0255125	 -0.0126952	 0	 -0.0124659	 -0.00469186	 -0.0244004	 0	 -0.00504639	 
75	 |	 -0.0257606	 -0.0155683	 -0.00957693	 0	 -0.0110811	 -0.00331142	 -0.0155104	 0	 -0.00089232	 
76	 |	 -0.0263967	 -0.0162708	 -0.010465	 0	 -0.0138177	 -0.0044909	 -0.0161063	 0	 -0.00530889	 
77	 |	 -0.0278749	 -0.00786959	 -0.00676173	 0	 -0.0132979	 -0.00277693	 -0.00908514	 0	 -0.00165609	 
78	 |	 -0.0286892	 -0.00866022	 -0.00753558	 0	 -0.0160809	 -0.00407734	 -0.00950455	 0	 -0.0057852	 
79	 |	 -0.0294455	 0	 0	 0	 -0.0228641	 0	 0	 0	 -0.0122746	 
80	 |	 -0.030571	 0	 0	 0	 -0.0246699	 0	 0	 0	 -0.0131595	 
81	 |	 -0.011289	 -0.167328	 -0.0161812	 0	 -0.00659428	 -0.00439594	 -0.157275	 0	 -0.00025511	 
82	 |	 -0.01144	 -0.16674	 -0.0169412	 0	 -0.00826215	 -0.00730893	 -0.158106	 0	 -0.00281609	 
83	 |	 -0.0134572	 -0.101442	 -0.0161087	 0	 -0.00691362	 -0.0044209	 -0.0934544	 0	 -0.00025826	 
84	 |	 -0.0137231	 -0.101654	 -0.016823	 0	 -0.00861714	 -0.00720802	 -0.0942211	 0	 -0.00289183	 
85	 |	 -0.0140523	 -0.0927869	 -0.0159547	 0	 -0.00699621	 -0.00445546	 -0.0852348	 0	 -0.00026219	 
86	 |	 -0.0143351	 -0.0941068	 -0.0167264	 0	 -0.00867443	 -0.00716469	 -0.0857109	 0	 -0.00290504	 
87	 |	 -0.0184546	 -0.0512598	 -0.0146684	 0	 -0.00782865	 -0.00464284	 -0.0455473	 0	 -0.00027989	 
88	 |	 -0.0190279	 -0.0522784	 -0.0151804	 0	 -0.00955018	 -0.0073332	 -0.045963	 0	 -0.00307456	 
89	 |	 -0.0233612	 -0.0264325	 -0.0117244	 0	 -0.00939085	 -0.00491924	 -0.023178	 0	 -0.00039197	 
90	 |	 -0.0239456	 -0.0273941	 -0.01238	 0	 -0.0111711	 -0.00722619	 -0.0238716	 0	 -0.00331285	 
91	 |	 -0.0257794	 -0.0170989	 -0.00944698	 0	 -0.01078	 -0.00493446	 -0.015146	 0	 -0.00062615	 
92	 |	 -0.0263932	 -0.0179891	 -0.0100748	 0	 -0.0126545	 -0.00682597	 -0.0158774	 0	 -0.00370207	 
93	 |	 -0.0278534	 -0.00898679	 -0.00665016	 0	 -0.0130463	 -0.00439541	 -0.00872166	 0	 -0.00141276	 
94	 |	 -0.0286739	 -0.0100252	 -0.00736435	 0	 -0.0151343	 -0.00607468	 -0.00927216	 0	 -0.00450913	 
95	 |	 -0.0293819	 0	 0	 0	 -0.0229137	 0	 0	 0	 -0.0124149	 
96	 |	 -0.0305311	 0	 0	 0	 -0.0247245	 0	 0	 0	 -0.0132018	 
97	 |	 -0.0138628	 -0.16297	 -0.046547	 0	 -0.0303243	 -0.0003207	 -0.157421	 0	 -0.00027188	 
98	 |	 -0.0152648	 -0.175123	 -0.0525454	 0	 -0.0408293	 -0.00112792	 -0.155833	 0	 -0.00258674	 
99	 |	 -0.016587	 -0.0982779	 -0.0493158	 0	 -0.0306858	 -0.0003339	 -0.0931195	 0	 -0.00028088	 
100	 |	 -0.0179282	 -0.107689	 -0.0544483	 0	 -0.0407856	 -0.00120313	 -0.0929244	 0	 -0.00263137	 
101	 |	 -0.0171833	 -0.0897014	 -0.0498226	 0	 -0.0307659	 -0.00034592	 -0.0848859	 0	 -0.00028282	 
102	 |	 -0.0185761	 -0.0997929	 -0.0549315	 0	 -0.0408021	 -0.00123576	 -0.0845013	 0	 -0.0026798	 
103	 |	 -0.0224537	 -0.0489607	 -0.0551415	 0	 -0.0317169	 -0.00037337	 -0.0448486	 0	 -0.00030342	 
104	 |	 -0.0242967	 -0.0611259	 -0.060362	 0	 -0.0408348	 -0.00140434	 -0.0450224	 0	 -0.00277886	 
105	 |	 -0.0294538	 -0.0247489	 -0.0616878	 0	 -0.0336037	 -0.00043297	 -0.0214935	 0	 -0.00033068	 
106	 |	 -0.0317252	 -0.0349406	 -0.0655352	 0	 -0.0409612	 -0.00151582	 -0.0218926	 0	 -0.00297274	 
107	 |	 -0.033321	 -0.0157659	 -0.0638601	 0	 -0.0351119	 -0.00048509	 -0.0128555	 0	 -0.00033229	 
108	 |	 -0.0353808	 -0.0230255	 -0.0672781	 0	 -0.0414474	 -0.00163888	 -0.0131782	 0	 -0.00306669	 
109	 |	 -0.037082	 -0.00682941	 -0.0479642	 0	 -0.0368114	 -0.00041754	 -0.00617844	 0	 -0.0003588	 
110	 |	 -0.039042	 -0.0107403	 -0.049764	 0	 -0.0421648	 -0.00143885	 -0.00667671	 0	 -0.00297924	 
111	 |	 -0.0401296	 0	 0	 0	 -0.0561359	 0	 0	 0	 -0.00510143	 
112	 |	 -0.0421152	 0	 0	 0	 -0.0589577	 0	 0	 0	 -0.00553604	 
113	 |	 -0.013805	 -0.167476	 -0.0464864	 0	 -0.0292785	 -0.00044119	 -0.157343	 0	 -0.00023963	 
114	 |	 -0.0152977	 -0.180436	 -0.0519611	 0	 -0.0375984	 -0.00151153	 -0.156083	 0	 -0.00241345	 
115	 |	 -0.016473	 -0.102242	 -0.0491802	 0	 -0.0297366	 -0.00046001	 -0.0931011	 0	 -0.00024779	 
116	 |	 -0.0173083	 -0.112492	 -0.054273	 0	 -0.0377907	 -0.00156907	 -0.0928596	 0	 -0.00244949	 
117	 |	 -0.0170787	 -0.0937302	 -0.0498274	 0	 -0.0298411	 -0.00046529	 -0.0848712	 0	 -0.00025013	 
118	 |	 -0.0179332	 -0.103669	 -0.0548227	 0	 -0.03776	 -0.00157616	 -0.0845619	 0	 -0.00249871	 
119	 |	 -0.0225748	 -0.0519546	 -0.0550541	 0	 -0.0309417	 -0.00049396	 -0.044894	 0	 -0.00025914	 
120	 |	 -0.0240662	 -0.0640771	 -0.0596952	 0	 -0.0382292	 -0.00173005	 -0.0452884	 0	 -0.00257142	 
121	 |	 -0.0293748	 -0.0271955	 -0.0619655	 0	 -0.0329681	 -0.00062317	 -0.0214868	 0	 -0.00028548	 
122	 |	 -0.0316323	 -0.0374259	 -0.0656871	 0	 -0.0389259	 -0.00180034	 -0.0217023	 0	 -0.00286115	 
123	 |	 -0.0333466	 -0.0171911	 -0.0642771	 0	 -0.0346811	 -0.00066757	 -0.0128124	 0	 -0.00029808	 
124	 |	 -0.0349834	 -0.0248161	 -0.0673532	 0	 -0.0401805	 -0.00190482	 -0.0131141	 0	 -0.00287576	 
125	 |	 -0.0372832	 -0.00769182	 -0.0480533	 0	 -0.0365991	 -0.00060405	 -0.00609243	 0	 -0.00031094	 
126	 |	 -0.0388663	 -0.0115882	 -0.0493289	 0	 -0.0414547	 -0.00170181	 -0.00663131	 0	 -0.00283892	 
127	 |	 -0.0399237	 0	 0	 0	 -0.0558901	 0	 0	 0	 -0.00516569	 
128	 |	 -0.0421066	 0	 0	 0	 -0.0589807	 0	 0	 0	 -0.00557856	 
129	 |	 -0.0136487	 -0.171779	 -0.0463978	 0	 -0.0283472	 -0.00148528	 -0.156869	 0	 -8.354e-05	 
130	 |	 -0.0149316	 -0.186588	 -0.0519066	 0	 -0.0326522	 -0.00263264	 -0.157566	 0	 -0.00154313	 
131	 |	 -0.0162898	 -0.105922	 -0.0489413	 0	 -0.0288586	 -0.00155229	 -0.0931056	 0	 -8.553e-05	 
132	 |	 -0.0177934	 -0.122489	 -0.0542714	 0	 -0.0330333	 -0.00274473	 -0.0930512	 0	 -0.00158868	 
133	 |	 -0.0169133	 -0.0975793	 -0.0495349	 0	 -0.0289762	 -0.00155837	 -0.0848145	 0	 -8.611e-05	 
134	 |	 -0.0184644	 -0.113709	 -0.054829	 0	 -0.033137	 -0.00277016	 -0.0848109	 0	 -0.00160404	 
135	 |	 -0.0223426	 -0.055195	 -0.0550438	 0	 -0.0302701	 -0.00169527	 -0.0447105	 0	 -9.453e-05	 
136	 |	 -0.0239575	 -0.0712598	 -0.0600076	 0	 -0.0340584	 -0.00281107	 -0.0446502	 0	 -0.00174441	 
137	 |	 -0.0293512	 -0.029859	 -0.061769	 0	 -0.032456	 -0.00181103	 -0.0213831	 0	 -0.00012388	 
138	 |	 -0.0311957	 -0.0422384	 -0.0657196	 0	 -0.0361551	 -0.00306716	 -0.0214032	 0	 -0.00191058	 
139	 |	 -0.0332567	 -0.0195753	 -0.0636844	 0	 -0.0342409	 -0.00178392	 -0.0126652	 0	 -0.00012868	 
140	 |	 -0.0350972	 -0.0285304	 -0.0669774	 0	 -0.0379038	 -0.00306691	 -0.0129439	 0	 -0.00200289	 
141	 |	 -0.0370988	 -0.00932229	 -0.0474879	 0	 -0.036311	 -0.00171546	 -0.00591637	 0	 -0.00014084	 
142	 |	 -0.0391812	 -0.0145135	 -0.0498923	 0	 -0.0398877	 -0.00275791	 -0.00636498	 0	 -0.00207977	 
143	 |	 -0.0399624	 0	 0	 0	 -0.0563019	 0	 0	 0	 -0.00531573	 
144	 |	 -0.042043	 0	 0	 0	 -0.0589863	 0	 0	 0	 -0.00559216	 
